Party and Electorate Candidate Votes Recorded at each Voting Place
Manukau East 24,Candidate Vote Details
,,"BAKSHI, Kanwaljit Singh","ESERA, Saipele","FLESHER, William","JOHNSTON, Edward George Tanu Faleauto","RICHMOND, Tamatoa","SALESA, Jennifer Teresia","SINGH, Bhupinder","SINGH, Raj",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Auckland City,"Auckland University, AUSA Club Space, The Quad, Alfred Street",6,0,3,2,1,31,2,3,48,0
,"AUT University, Level 4 Library Foyer, WA Building, 55 Wellesley Street East",9,0,4,1,0,39,1,2,56,0
Botany,"Botany Library, Level 1, Sunset Terrace",21,1,6,2,0,28,1,2,61,1
Clover Park,"Tupu Youth Library, 102R Dawson Road",11,19,17,4,2,285,0,2,340,7
East Tamaki,"Hope Centre NZ, 5 Birmingham Road",13,2,8,2,0,77,2,5,109,2
Mangere,"Consulate General of Samoa, 141r Bader Drive",2,2,3,0,0,28,0,0,35,0
Mangere East,"Mangere East Library, 370 Massey Road",13,2,3,0,0,42,0,0,60,4
Mangere Town Centre,"Mangere Arts & Events Centre, corner Orly Avenue & Bader Drive",9,8,0,0,0,54,0,1,72,2
Manukau,"AUT South Campus, Service Zone, MH Level 1, 640 Great South Road",39,5,3,2,1,80,0,8,138,2
,"Manukau Community Library Meeting Room, 3 Osterley Way",44,5,10,2,0,108,1,6,176,8
,"Westfield Manukau, Amersham Way Entrance, Amersham Way",250,22,58,7,5,591,8,28,969,16
Manurewa,"Manurewa Library, 7 Hill Road",6,1,1,0,0,17,1,1,27,1
,"Manurewa Methodist Church Main Hall, 224-226 Great South Road",1,0,3,0,0,6,0,0,10,0
Mt Eden,"University of Auckland, Epsom Campus, Music Auditorium, 74 Epsom Avenue (Gate 3)",0,1,3,0,0,5,0,0,9,0
Mt Wellington,"Salvation Army Community Centre, 18 Allright Place",5,0,1,1,0,9,0,2,18,0
Otahuhu,"Otahuhu Community Library, 28 Mason Avenue",253,21,79,25,1,1080,1,38,1498,19
Otara Town Centre,"Otara Library, Shop 5, 46 Fair Mall",51,83,59,12,7,1186,2,23,1423,26
Papatoetoe,"Hunters Plaza Shopping Centre, outside Kmart, 217 Great South Road",869,42,200,31,7,2033,36,86,3304,39
,"Papatoetoe Town Hall, 35 Saint George Street",335,19,147,17,3,1134,23,23,1701,35
Penrose,"Hamlins Hill, Unit 18, 930 Great South Road",3,0,3,0,1,13,0,0,20,1
,Hospital & Rest Homes Team - Taken in Manukau East,14,2,12,0,2,35,0,1,66,3
,Middlemore Hospital Team,4,0,1,0,0,10,0,0,15,0

Voting Places
Chapel Downs,"Chapel Downs Primary School, 170 Dawson Road",2,1,3,0,0,26,0,3,35,0
Favona,"Koru Primary School, 71 Robertson Road",1,0,1,0,0,12,0,0,14,0
Flat Bush,"Dawson Primary School, 15 Haumia Way",5,8,3,0,0,59,0,1,76,4
,"Kia Aroha College, 51 Othello Drive",0,2,1,0,1,17,0,1,22,0
Mangere,"Robertson Road School, 205 Robertson Road",0,0,0,0,0,6,0,0,6,0
,"Tongan Methodist Church, 34 Orly Avenue",1,0,0,0,0,10,0,0,11,0
Mangere East,"De La Salle College, 81 Gray Avenue",5,0,2,1,0,14,0,1,23,0
,"Kingsford School, 54 Raglan Street",5,0,2,0,0,12,0,0,19,0
,"Mangere East Primary School, 21 Yates Road",0,0,1,0,0,14,0,0,15,0
,"Selwyn Anglican Church Hall, corner Massey Road & Hain Avenue",0,0,0,0,0,8,0,0,8,1
Manukau,"Redoubt North Wesleyan Church, 51 Diorella Drive",1,0,2,1,0,17,0,0,21,0
Otahuhu,"Fairburn School, 10 Pukeora Road",76,11,20,9,0,264,2,8,390,13
,"McAuley High School, 26 High Street",96,16,32,6,0,412,2,11,575,16
,"Middlemore Hospital, Hospital Road",18,1,2,0,0,58,0,4,83,6
,"Otahuhu College, 74-78 Mangere Road",71,8,20,4,0,189,3,7,302,6
,"Otahuhu Intermediate School, 22-24 Luke Street",47,9,35,10,4,273,5,9,392,9
,"Otahuhu Primary School, 41 Station Road",66,11,29,12,0,268,1,8,395,5
,"Panama Road School, 139 Panama Road",0,0,1,2,0,9,0,0,12,0
Otara,"Bairds Mainfreight Primary School, 12 Edward Avenue",11,14,22,5,0,244,0,2,298,4
,"East Tamaki Primary School, 196 Preston Road",12,9,5,0,1,194,0,1,222,5
,"Ferguson Intermediate School, 20-40 Ferguson Road",10,45,30,4,0,572,1,6,668,2
,"Flat Bush School, 20 Flat Bush Road",11,11,6,0,3,265,0,3,299,8
,"Mayfield School, 12 Pearl Baker Drive",27,17,7,7,0,388,0,2,448,12
,"Sir Edmund Hillary Collegiate, 67 Otara Road",5,28,13,2,1,331,0,5,385,15
,"Wymondley Road School, 77 Wymondley Road",5,16,8,3,1,167,0,4,204,5
Papatoetoe,"Aorere College, 6-8 Selfs Road",43,5,14,1,0,137,1,7,208,5
,"Holy Cross Church Hall, corner Fairview & Carruth Roads",217,13,66,15,2,486,17,19,835,13
,"Kedgley Intermediate School, 181 Portage Road",15,2,0,0,0,47,0,1,65,1
